team,elo_rating
LOSC Lille,1698.8249931165435
Paris Saint-Germain,1911.8502031572752
Montpellier,1297.378006357638
Angers,1424.4845080814648
Chelsea,1720.3423113365204
Swansea,1401.4586306746126
Everton,1631.7947161271554
Watford,1297.04849390829
Leicester City,1358.4985421962085
Sunderland,1311.3863407480296
Manchester United,1524.875724649667
Tottenham Hotspur,1490.2002852143185
Norwich City,1274.9470141888771
Crystal Palace,1683.9442848544008
Bournemouth,1634.3389454301955
Aston Villa,1702.0849925781736
Bastia,1397.5903138299705
Stade Rennais,1576.186385937389
Olympique Marseille,1691.1084998983863
Caen,1371.3132119729125
Nantes,1488.9516928364446
Guingamp,1374.2177751749002
OGC Nice,1708.4907965577559
AS Monaco,1711.775751058912
Troyes,1332.9935133848394
Ajaccio GFCO,1386.2705198648832
Newcastle United,1691.3381641096898
Southampton,1255.5158304696533
Arsenal,1816.732973944102
West Ham United,1533.4509181652077
Stoke,1408.7184456570553
Liverpool,1835.9008029215493
Olympique Lyon,1692.5600238378001
Lorient,1454.8617535626815
Bordeaux,1400.786064867873
Reims,1459.4540491459782
Toulouse,1570.417436919086
St Etienne,1441.236158923215
West Brom,1376.3673486635932
Manchester City,1823.4836667044872
Bayern München,1872.8282153557595
Hamburg,1413.3592037236951
Werder Bremen,1609.7102212843859
Schalke 04,1421.0359277686991
Mainz,1633.2933875552626
Ingolstadt,1405.7544630290915
Augsburg,1511.768096586301
Hertha,1399.5170398038895
Darmstadt,1280.418092729849
Hannover,1312.3695280945615
Borussia Dortmund,1732.4640452240028
Borussia Mönchengladbach,1512.81315374607
Bayer Leverkusen,1800.6759184620971
Hoffenheim,1493.7344895298927
VfB Stuttgart,1648.930016533308
FC Koln,1430.1248156350205
VfL Wolfsburg,1535.3026029171353
Eintracht Frankfurt,1682.4320764313934
Malaga,1309.9066118028609
Sevilla,1461.0370372851175
Atletico Madrid,1721.6185406383618
Las Palmas,1372.1277526673857
La Coruna,1353.559512830099
Sociedad,1489.5628143889885
Espanyol,1503.6564975231568
Getafe,1458.4793585689542
Verona,1464.1267973480517
AS Roma,1776.849962246008
Vallecano,1527.3346183666777
Valencia,1554.3926529047963
SS Lazio,1686.1315225717653
Bologna,1655.7414011660494
Sampdoria,1349.2143798297088
Carpi,1443.3461423179383
Empoli,1432.3754933582084
Chievo,1296.6433073582016
ACF Fiorentina,1695.6401926511185
AC Milan,1712.9670538861799
Frosinone,1433.710511117685
Torino,1548.314364234814
Inter Milan,1877.126755096629
Atalanta BC,1775.6786834020443
Juventus,1744.6474509763025
Udinese,1480.2003215636107
Palermo,1314.1159580512874
Genoa,1565.1890938660117
Sassuolo,1405.870567701741
SSC Napoli,1787.2193987581272
Sp Gijon,1382.7143421449068
Real Madrid,1821.1146494770564
Athletic Bilbao,1696.5869974367872
Barcelona,1865.5214233359422
Levante,1498.7963313932362
Celta Vigo,1570.0133807880325
Real Betis,1617.6328824856473
Villarreal,1697.327991877508
Granada,1330.2722759158373
Eibar,1401.9466043409627
Middlesbrough,1344.1755416904796
Hull,1369.7867444372016
Burnley,1388.258253676463
Dijon,1309.8376755765419
Metz,1413.7987000167368
Nancy,1395.33626102161
Osasuna,1582.3764612581524
Crotone,1346.8579632966278
Cagliari,1486.645347204669
Alaves,1505.2456367097118
Pescara,1284.2948957215035
Leganes,1468.2200892441463
SC Freiburg,1592.0908784142814
RB Leipzig,1631.2472204500054
Strasbourg,1670.7400074935374
Amiens,1400.7596487720334
Huddersfield,1268.1270134542478
Brighton & Hove Albion,1670.762456053878
Girona,1453.1617912522627
Spal,1263.0055984433739
Benevento,1341.3989277587389
Cardiff,1426.3267329397434
Nimes,1437.6491321403405
Wolverhampton,1536.0829126559547
Fulham,1584.8670086916234
Valladolid,1234.5269749037902
Huesca,1444.331258425851
Parma,1479.3528819224694
Fortuna Dusseldorf,1428.3844226834065
Nurnberg,1307.9074148134223
Sheffield Utd,1260.0165523432483
Brest,1601.0372373168384
Mallorca,1485.3343180385796
Paderborn,1324.4598853140812
Union Berlin,1489.7271633007815
Brescia,1336.1136667719802
Lecce,1464.1146217248393
RC Lens,1616.49411735436
Leeds United,1384.8008694800465
Cadiz,1408.406081601536
Bielefeld,1425.438224944103
Elche,1413.034280062654
Spezia,1423.613201937448
Clermont,1427.826003376772
Brentford,1636.0152393567857
Bochum,1413.6150481007842
Greuther Furth,1360.629601754201
Salernitana,1333.0552809036803
Venezia,1422.2752538385937
Ajaccio,1325.4467672253943
Nottingham Forest,1632.8635301975369
Auxerre,1555.339792660008
Monza,1325.7734401509701
Cremonese,1442.4069949652337
Almeria,1371.7608323310023
Luton,1376.3656385407717
Le Havre,1454.9829985598774
Heidenheim,1443.7619171921285
Ipswich,1349.1230739402324
Como,1605.9825678583886
Holstein Kiel,1425.6799919016662
St Pauli,1460.5269367207236
